Listing Title,Category,City,County,State,Country,Short Description,Full Description,Address,Phone,Email,Website,Price,Schedule / Hours,Senior Discount,Dementia-Friendly?,Caregiver-Friendly?,Wheelchair Accessible?,Transportation Available?,Tags,Slug,Source URL,Last Updated
Winter Haven Senior Adult Center,Senior Center,Winter Haven,Polk County,Florida,USA,"Winter Haven senior adult center offering fitness, music, art, dance, cards, games, Tai Chi, line dancing, and activity programs.","Winter Haven Senior Adult Center offers programs for older adults including fitness programs, music and art programs, dance programs, cards and games, Tai Chi, line dancing, and other activities. Participants should confirm current schedule, registration, fees, and availability before attending.","Winter Haven, FL",Not listed,Not listed,https://www.mywinterhaven.com/469/Senior-Adult-Center,Some program fees listed; confirm current costs before attending.,"Check website for current fitness, music, art, dance, cards, games, and activity schedules.",Not listed,Not listed,Not listed,Not listed,Not listed,"Winter Haven, senior adult center, Tai Chi, line dance, cards, games, fitness, art, Polk County",winter-haven-senior-adult-center-florida,https://www.mywinterhaven.com/469/Senior-Adult-Center,2026-05-01
Seniors First Central Florida,Caregiver Support,Orlando,Orange County,Florida,USA,"Central Florida nonprofit providing Meals on Wheels, neighborhood lunch, food pantry, in-home care, medical equipment, and guardianship support.","Seniors First provides services to Central Florida seniors, including Meals on Wheels, emergency meals, neighborhood lunch, community food pantry, in-home care, medical equipment bank support, and guardianship services. Services vary by county, so residents should confirm availability in Orange, Seminole, and Polk counties.",Central Florida,407-292-0177,Not listed,https://www.seniorsfirstinc.org/,Not listed,Services vary by county; contact Seniors First for current eligibility and availability.,Not listed,Not listed,Yes,Not listed,Not listed,"Central Florida, Seniors First, Meals on Wheels, food pantry, in-home care, caregiver support, Orange County, Seminole County, Polk County",seniors-first-central-florida-caregiver-support,https://www.seniorsfirstinc.org/,2026-05-01
Lake Mary Senior Programs,Senior-Friendly Event,Lake Mary,Seminole County,Florida,USA,Lake Mary senior programs offering activities for adults age 55 and older through Parks and Recreation.,"Lake Mary Senior Programs are offered by the City of Lake Mary Parks and Recreation Department for adults age 55 and older. Residents may register for free senior membership, while non-residents may have an annual fee. Participants should confirm current activities, calendars, membership requirements, and fees before attending.","Lake Mary, FL",Not listed,Not listed,https://www.lakemaryfl.com/1607/Senior-Programs,Free senior membership for residents; non-residents may have an annual fee.,Check city senior programs page for current schedule.,Not listed,Not listed,Not listed,Not listed,Not listed,"Lake Mary, senior programs, Parks and Recreation, age 55 plus, activities, Seminole County",lake-mary-senior-programs-florida,https://www.lakemaryfl.com/1607/Senior-Programs,2026-05-01
Weisman Delray Community Center,Senior Center,Delray Beach,Palm Beach County,Florida,USA,Delray Beach community center offering extensive programming and services for adults age 60 and older.,"Weisman Delray Community Center is a senior services center in Delray Beach that provides programming and services for adults age 60 and older. The center is connected with Ruth & Norman Rales Jewish Family Services and helps support seniors who may otherwise be isolated. Confirm current programs, membership, eligibility, fees, and schedules before visiting.","Delray Beach, FL",Not listed,Not listed,https://ralesjfs.org/our-services/senior-services/weisman-delray-community-center/,Not listed,Call or check website for current programs and schedules.,Not listed,Not listed,Yes,Not listed,Not listed,"Delray Beach, Weisman Delray Community Center, senior services, age 60 plus, programming, social support",weisman-delray-community-center-florida,https://ralesjfs.org/our-services/senior-services/weisman-delray-community-center/,2026-05-01
Fred Lippman Multi-Purpose Center,Senior Center,Hollywood,Broward County,Florida,USA,"Hollywood senior center offering recreational, educational, and social activities for adults age 60 and older.","Fred Lippman Multi-Purpose Center is a City of Hollywood facility serving adults age 60 and older with recreational, educational, and social activities. Seniors should confirm current hours, activity schedules, registration, fees, transportation, and eligibility before visiting.","2030 Polk Street, Hollywood, FL 33020",954-921-3408,Not listed,https://www.hollywoodfl.org/1446/Fred-Lippman-Multi-Purpose-Center,Not listed,Monday-Friday 8:30 AM-4:30 PM; confirm current schedule before visiting.,Not listed,Not listed,Not listed,Not listed,Not listed,"Hollywood, Fred Lippman, senior center, activities, education, social programs, Broward County",fred-lippman-multi-purpose-center-hollywood-florida,https://www.hollywoodfl.org/1446/Fred-Lippman-Multi-Purpose-Center,2026-05-01
Hollywood Sun Shuttle Transportation,Transportation Help,Hollywood,Broward County,Florida,USA,Hollywood community shuttle and microtransit service supporting local rides within the city service area.,"Hollywood Sun Shuttle is a local transportation option serving areas of Hollywood. Older adults and families can check route maps, service areas, operating hours, accessibility, and ride rules before using the service.","Hollywood, FL",954-357-8400,Not listed,https://www.hollywoodfl.org/1467/Sun-Shuttle,Not listed,Service hours and routes vary; check city transportation page before riding.,Not listed,Not listed,Not listed,Yes,Yes,"Hollywood, Sun Shuttle, transportation help, local rides, community shuttle, Broward County",hollywood-sun-shuttle-transportation-florida,https://www.hollywoodfl.org/1467/Sun-Shuttle,2026-05-01
Miami-Dade County Golden Passport,Senior Discount,Miami,Miami-Dade County,Florida,USA,Miami-Dade transit discount program offering free transit passes for eligible older adults and qualifying residents.,"Miami-Dade County Golden Passport is a transit benefit program that helps eligible older adults and qualifying residents use Miami-Dade Transit services. Seniors and families should confirm age requirements, application rules, replacement rules, and eligible transit services before applying.","Miami-Dade County, FL",311,Not listed,https://www.miamidade.gov/global/service.page?Mduid_service=ser1519934358085368,Free transit pass for eligible participants.,Check Miami-Dade County for current application and service details.,Yes,Not listed,Not listed,Not listed,Yes,"Miami-Dade, Golden Passport, senior discount, free transit, public transportation, older adults",miami-dade-county-golden-passport-senior-discount,https://www.miamidade.gov/global/service.page?Mduid_service=ser1519934358085368,2026-05-01
Miami-Dade Special Transportation Service,Transportation Help,Miami,Miami-Dade County,Florida,USA,Miami-Dade paratransit service for eligible riders who cannot use regular fixed-route transit because of disability.,"Miami-Dade Special Transportation Service is a shared-ride paratransit service for eligible riders who cannot use fixed-route transit due to disability. Riders should confirm eligibility, application steps, reservation rules, service area, fares, and companion/caregiver policies directly with Miami-Dade Transit.","Miami-Dade County, FL",786-469-5000,Not listed,https://www.miamidade.gov/global/transportation/special-transportation-service.page,Check Miami-Dade County for current fare details.,Service and reservations vary; check STS rules before scheduling.,Not listed,Not listed,Yes,Yes,Yes,"Miami-Dade, special transportation service, paratransit, accessible rides, disability transportation, caregiver support",miami-dade-special-transportation-service-florida,https://www.miamidade.gov/global/transportation/special-transportation-service.page,2026-05-01
Broward County TOPS Paratransit,Transportation Help,Fort Lauderdale,Broward County,Florida,USA,Broward County paratransit service for eligible riders who cannot use fixed-route bus service because of disability.,"Broward County TOPS Paratransit provides shared-ride transportation for eligible riders whose disability prevents them from using regular fixed-route bus service. Riders should confirm eligibility, application steps, fares, reservation rules, service area, and caregiver/companion policies before scheduling.","Broward County, FL",954-357-8400,Not listed,https://www.broward.org/BCT/Pages/Paratransit.aspx,Check Broward County Transit for current fares.,Service and reservations vary; check TOPS rules before scheduling.,Not listed,Not listed,Yes,Yes,Yes,"Broward County, TOPS, paratransit, transportation help, accessible rides, disability transportation",broward-county-tops-paratransit-florida,https://www.broward.org/BCT/Pages/Paratransit.aspx,2026-05-01
PSTA DART Paratransit,Transportation Help,St. Petersburg,Pinellas County,Florida,USA,Pinellas County paratransit service providing demand-response transportation for eligible riders with disabilities.,"PSTA DART Paratransit is a demand-response transportation service in Pinellas County for eligible riders with disabilities who cannot independently use regular bus service. Riders should confirm eligibility, application rules, reservation requirements, fares, service area, and accessibility before scheduling.","Pinellas County, FL",727-540-1888,Not listed,https://www.psta.net/riding-psta/programs/dart/,Check PSTA for current DART fare information.,Service and reservations vary; check PSTA DART before scheduling.,Not listed,Not listed,Yes,Yes,Yes,"Pinellas County, PSTA, DART, paratransit, senior transportation, accessible rides, St. Petersburg",psta-dart-paratransit-pinellas-county-florida,https://www.psta.net/riding-psta/programs/dart/,2026-05-01
LYNX ACCESS Paratransit,Transportation Help,Orlando,Orange County,Florida,USA,Orlando-area complementary paratransit service for eligible riders unable to use regular fixed-route bus service.,"LYNX ACCESS is the Orlando regional paratransit service for eligible riders whose disability prevents them from using regular fixed-route bus service. Riders should confirm eligibility, application steps, reservations, fares, service area, and travel training or companion policies before scheduling.",Central Florida,407-423-8747,Not listed,https://www.golynx.com/plan-trip/riding-lynx/access-lynx.stml,Check LYNX for current fare information.,Service and reservations vary; check LYNX ACCESS before scheduling.,Not listed,Not listed,Yes,Yes,Yes,"Orlando, LYNX ACCESS, paratransit, transportation help, accessible rides, Orange County, Central Florida",lynx-access-paratransit-orlando-florida,https://www.golynx.com/plan-trip/riding-lynx/access-lynx.stml,2026-05-01
Tampa Museum of Art,Museum / Culture,Tampa,Hillsborough County,Florida,USA,"Tampa art museum offering exhibitions, programs, accessibility information, and senior admission pricing.","Tampa Museum of Art offers exhibitions, educational programs, art experiences, and cultural opportunities in downtown Tampa. Older adults should confirm current exhibitions, senior pricing, accessibility, parking, hours, and ticket policies before visiting.","120 W Gasparilla Plaza, Tampa, FL 33602",813-274-8130,Not listed,https://tampamuseum.org/visit/,Senior admission may be available; confirm current pricing before visiting.,Check website for current hours and exhibitions.,Yes,Not listed,Not listed,Not listed,Not listed,"Tampa, Tampa Museum of Art, museum, culture, senior admission, exhibitions, downtown Tampa",tampa-museum-of-art-florida,https://tampamuseum.org/visit/,2026-05-01
Orlando Museum of Art,Museum / Culture,Orlando,Orange County,Florida,USA,"Orlando art museum offering exhibitions, cultural programs, tours, and senior-friendly museum visits.","Orlando Museum of Art offers exhibitions, tours, educational programs, and cultural experiences for visitors of different ages. Older adults should confirm current exhibitions, hours, accessibility, admission pricing, parking, and tour availability before visiting.","2416 N Mills Avenue, Orlando, FL 32803",407-896-4231,Not listed,https://omart.org/visit/,Confirm current admission and discount information before visiting.,"Check website for current hours, exhibitions, and tours.",Not listed,Not listed,Not listed,Not listed,Not listed,"Orlando, Orlando Museum of Art, museum, culture, exhibitions, tours, older adults",orlando-museum-of-art-florida,https://omart.org/visit/,2026-05-01
Museum of Fine Arts St. Petersburg,Museum / Culture,St. Petersburg,Pinellas County,Florida,USA,"St. Petersburg art museum offering exhibitions, collections, programs, accessibility information, and senior admission pricing.","Museum of Fine Arts St. Petersburg offers art collections, exhibitions, programs, and cultural experiences near the waterfront. Older adults should confirm current hours, ticket pricing, senior admission, accessibility, parking, and exhibitions before visiting.","255 Beach Drive NE, St. Petersburg, FL 33701",727-896-2667,Not listed,https://mfastpete.org/visit/,Senior admission may be available; confirm current pricing before visiting.,"Check website for current hours, programs, and exhibitions.",Yes,Not listed,Not listed,Not listed,Not listed,"St. Petersburg, Museum of Fine Arts, museum, culture, senior admission, exhibitions, waterfront",museum-of-fine-arts-st-petersburg-florida,https://mfastpete.org/visit/,2026-05-01
The Ringling Museum,Senior Discount,Sarasota,Sarasota County,Florida,USA,"Sarasota museum and cultural campus offering art, history, gardens, tours, and senior admission pricing.","The Ringling Museum in Sarasota offers art collections, historic spaces, gardens, tours, exhibitions, and cultural experiences. Older adults should confirm current senior admission pricing, accessibility, parking, tour availability, hours, and exhibition details before visiting.","5401 Bay Shore Road, Sarasota, FL 34243",941-359-5700,Not listed,https://www.ringling.org/visit/,Senior admission may be available; confirm current pricing before visiting.,"Check website for current hours, exhibitions, tours, and gardens access.",Yes,Not listed,Not listed,Not listed,Not listed,"Sarasota, Ringling Museum, senior discount, museum, culture, gardens, art, tours",the-ringling-museum-sarasota-florida,https://www.ringling.org/visit/,2026-05-01
Pérez Art Museum Miami,Museum / Culture,Miami,Miami-Dade County,Florida,USA,"Miami waterfront art museum offering exhibitions, programs, accessibility information, and cultural experiences.","Pérez Art Museum Miami offers modern and contemporary art exhibitions, cultural programs, waterfront views, and visitor experiences in downtown Miami. Older adults should confirm current hours, admission pricing, accessibility, parking, and available programs before visiting.","1103 Biscayne Boulevard, Miami, FL 33132",305-375-3000,Not listed,https://www.pamm.org/en/visit/,Confirm current admission and discount information before visiting.,"Check website for current hours, exhibitions, and programs.",Not listed,Not listed,Not listed,Not listed,Not listed,"Miami, Pérez Art Museum Miami, PAMM, museum, culture, art, exhibitions, downtown Miami",perez-art-museum-miami-florida,https://www.pamm.org/en/visit/,2026-05-01
Cummer Museum of Art and Gardens,Museum / Culture,Jacksonville,Duval County,Florida,USA,"Jacksonville museum offering art collections, gardens, programs, accessibility information, and senior-friendly cultural visits.","Cummer Museum of Art and Gardens offers art collections, gardens, exhibitions, programs, and cultural experiences in Jacksonville. Older adults should confirm current admission, senior discount availability, accessibility, parking, hours, and garden access before visiting.","829 Riverside Avenue, Jacksonville, FL 32204",904-356-6857,Not listed,https://www.cummermuseum.org/visit/,Confirm current admission and discount information before visiting.,"Check website for current hours, exhibitions, garden access, and programs.",Not listed,Not listed,Not listed,Not listed,Not listed,"Jacksonville, Cummer Museum, museum, gardens, culture, art, exhibitions, senior-friendly visit",cummer-museum-of-art-and-gardens-jacksonville-florida,https://www.cummermuseum.org/visit/,2026-05-01
ElderTreks Florida Tours,Senior Travel & Tours,Statewide,Statewide,Florida,USA,Senior-focused travel company offering small-group adventure travel and tours that may include Florida or U.S. destinations.,"ElderTreks is a travel company focused on small-group adventures for travelers age 50 and older. Seniors interested in Florida, U.S., or international travel should confirm current tour availability, physical activity level, pricing, accessibility, cancellation rules, and travel insurance requirements directly before booking.",Not listed,800-741-7956,Not listed,https://www.eldertreks.com/,Prices vary by tour.,Tour schedules vary by destination and season.,Not listed,Not listed,Not listed,Not listed,Yes,"Florida, senior travel, ElderTreks, age 50 plus, small group travel, adventure travel, tours",eldertreks-florida-senior-travel-tours,https://www.eldertreks.com/,2026-05-01
Road Scholar Florida Programs,Senior Travel & Tours,Statewide,Statewide,Florida,USA,"Educational travel programs for older adults, including Florida learning adventures and group trips.","Road Scholar offers educational travel programs for older adults, including learning adventures that may include Florida destinations. Participants should confirm current Florida programs, dates, pricing, physical activity level, accommodations, cancellation policies, and accessibility before booking.",Not listed,800-454-5768,Not listed,https://www.roadscholar.org/,Prices vary by program.,Program schedules vary by destination and season.,Not listed,Not listed,Not listed,Not listed,Yes,"Florida, Road Scholar, senior travel, educational travel, older adults, learning adventures, group trips",road-scholar-florida-programs-senior-travel,https://www.roadscholar.org/,2026-05-01
NYC Aging Older Adult Centers,Senior Center,New York,New York County,New York,USA,"New York City older adult center network offering free membership, in-person and virtual activities, meals, social connection, and support for adults age 60 and older.","NYC Aging supports a citywide network of Older Adult Centers where New Yorkers age 60 and older can participate in free membership, in-person activities, virtual activities, meals, social connection, wellness programs, and community support. Seniors and families should use NYC Aging’s center finder or call before visiting to confirm the nearest location, schedule, meals, language access, and program availability.","New York City, NY",311,Not listed,https://www.nyc.gov/site/dfta/services/older-adult-center.page,Free membership for New Yorkers age 60 and older.,Check NYC Aging center finder for current center schedules and services.,Not listed,Not listed,Yes,Not listed,Not listed,"New York City, NYC Aging, older adult centers, senior centers, age 60 plus, activities, meals, social connection",nyc-aging-older-adult-centers-new-york,https://www.nyc.gov/site/dfta/services/older-adult-center.page,2026-05-02
NY Connects New York State,Caregiver Support,Statewide,Statewide,New York,USA,"Statewide New York resource connecting older adults, caregivers, families, and people with disabilities to local long-term services and supports.","NY Connects is a statewide New York resource for free, unbiased information about long-term services and supports. Older adults, caregivers, families, and people with disabilities can contact NY Connects to find local programs, services, benefits information, transportation resources, caregiver support, and community-based assistance.",New York State,800-342-9871,Not listed,https://aging.ny.gov/,Not listed,Call NY Connects for current local resource navigation and referrals.,Not listed,Not listed,Yes,Not listed,Yes,"New York State, NY Connects, caregiver support, long-term services, older adults, disability resources, local aging office",ny-connects-new-york-state-caregiver-support,https://aging.ny.gov/,2026-05-02
Carter Burden Luncheon Club & Older Adult Program,Senior Center,New York,New York County,New York,USA,"Upper East Side older adult program offering meals, activities, programs, and social connection for adults age 60 and older.","Carter Burden Luncheon Club & Older Adult Program is located on the Upper East Side and provides activities and programming for older adults age 60 and older. The program supports social connection, meals, wellness, learning, and community engagement. Confirm current program calendar, meal schedule, registration, and availability before visiting.","351 East 74th Street, New York, NY 10021",212-203-3541,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org/cblc,Not listed,Monday-Friday 9:00 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"New York, Upper East Side, Carter Burden, older adult program, meals, activities, age 60 plus",carter-burden-luncheon-club-older-adult-program-new-york,https://www.carterburdennetwork.org/cblc,2026-05-02
Carter Burden Leonard Covello Older Adult Program,Senior Center,New York,New York County,New York,USA,"East Harlem older adult program offering social, recreational, educational, art, health, dining, and wellness activities for adults over age 60.","Carter Burden Leonard Covello Older Adult Program is located in East Harlem and offers social, recreational, and educational activities for adults over age 60. Programming includes art, health workshops, congregate dining, and community activities. Confirm current calendar, meal service, weekend availability, and registration before visiting.","312 East 109th Street, New York, NY 10029",212-423-9665,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org/olderadultcenters,Not listed,Monday-Friday 8:00 AM-4:00 PM; Saturday-Sunday 9:00 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"New York, East Harlem, Leonard Covello, Carter Burden, older adult center, meals, art, health workshops",carter-burden-leonard-covello-older-adult-program-new-york,https://www.carterburdennetwork.org/olderadultcenters,2026-05-02
Carter Burden Lehman Village Older Adult Program,Senior Center,New York,New York County,New York,USA,"East Harlem older adult program offering congregate dining, activities, and support resources connected with Carter Burden Network.","Carter Burden Lehman Village Older Adult Program is an uptown satellite of the Leonard Covello Program and provides many of the same resources, including in-person programming and congregate dining. The program primarily serves individuals living in the Lehman Village Houses area. Confirm current schedule, eligibility, meal service, and program details before visiting.","1641 Madison Avenue, New York, NY 10029",646-370-5600,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org/olderadultcenters,Not listed,Monday-Friday 9:00 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"New York, East Harlem, Lehman Village, Carter Burden, older adult program, congregate dining, activities",carter-burden-lehman-village-older-adult-program-new-york,https://www.carterburdennetwork.org/olderadultcenters,2026-05-02
Carter Burden Roosevelt Island Older Adult Center,Senior Center,New York,New York County,New York,USA,"Roosevelt Island older adult center offering wraparound support, art, health, wellness, dining, and community programs.","Carter Burden Roosevelt Island Older Adult Center offers wraparound supports and services along with engaging programs such as art, health, wellness, and community activities. Older adults should confirm current dining, class schedules, registration, accessibility, and program availability before visiting.","546 Main Street, Roosevelt Island, NY",212-980-1888,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org/olderadultcenters,Not listed,Monday-Friday 10:00 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"Roosevelt Island, Carter Burden, older adult center, wellness, art, health, support services, meals",carter-burden-roosevelt-island-older-adult-center-new-york,https://www.carterburdennetwork.org/olderadultcenters,2026-05-02
Selfhelp Austin Street Older Adult Center,Senior Center,Forest Hills,Queens County,New York,USA,"Forest Hills older adult center offering meals, arts and crafts, exercise, cultural programs, lifelong learning, benefits counseling, and wellness support.","Selfhelp Austin Street Older Adult Center in Forest Hills provides programs and services that promote health, independence, and social connection. Offerings include nutritious kosher or Glatt meals, arts and crafts, exercise classes, cultural programs, lifelong learning workshops, case assistance, benefits counseling, and wellness programs.","106-06 Queens Boulevard, Forest Hills, NY 11375",718-520-8197,Not listed,https://selfhelp.net/older-adult-centers/,Not listed,Monday-Friday 8:30 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"Forest Hills, Queens, Selfhelp, Austin Street, older adult center, meals, exercise, benefits counseling",selfhelp-austin-street-older-adult-center-forest-hills-new-york,https://selfhelp.net/older-adult-centers/,2026-05-02
Selfhelp Benjamin Rosenthal-Prince Street Innovative Older Adult Center,Senior Center,Flushing,Queens County,New York,USA,"Flushing older adult center offering arts, culture, technology, exercise, education, health management, nutrition programs, food pantry, and social services.","Selfhelp Benjamin Rosenthal-Prince Street Innovative Older Adult Center is located in Flushing and offers life-enhancing programs such as arts and cultural activities, technology classes, physical exercise, educational workshops, health management, nutrition programs, a food pantry, and social service support for entitlements, benefits, and referrals.","45-25 Kissena Boulevard, Flushing, NY 11355",718-886-5777,Not listed,https://selfhelp.net/older-adult-centers/,Not listed,Monday-Friday 8:30 AM-4:00 PM; Saturday 8:30 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"Flushing, Queens, Selfhelp, Benjamin Rosenthal, Prince Street, older adult center, technology, food pantry, benefits",selfhelp-benjamin-rosenthal-prince-street-older-adult-center-flushing-new-york,https://selfhelp.net/older-adult-centers/,2026-05-02
Selfhelp Clearview Older Adult Center,Senior Center,Bayside,Queens County,New York,USA,"Bayside older adult center offering exercise classes, art workshops, discussion groups, ping pong, multilingual support, and Alzheimer’s resource programming.","Selfhelp Clearview Older Adult Center serves older adults in Bayside with programs including exercise classes, art workshops, discussion groups, ping pong, social connection, and multilingual support. The SHARP Selfhelp Alzheimer’s Resource Program is also located on site. Confirm current program calendar, eligibility, meals, and support services before visiting.","208-11 26th Avenue, Bayside, NY 11360",718-224-7888,Not listed,https://selfhelp.net/older-adult-centers/,Not listed,Monday-Friday 8:30 AM-4:00 PM.,Not listed,Not listed,Yes,Yes,Not listed,"Bayside, Queens, Selfhelp, Clearview, older adult center, exercise, art, Alzheimer’s resource, Korean language",selfhelp-clearview-older-adult-center-bayside-new-york,https://selfhelp.net/older-adult-centers/,2026-05-02
Selfhelp Latimer Gardens Older Adult Center,Senior Center,Flushing,Queens County,New York,USA,"Flushing older adult center offering dance, calligraphy, fitness, weekday lunches, social workers, benefits support, and cultural enrichment.","Selfhelp Latimer Gardens Older Adult Center is a Flushing community hub offering dance classes, calligraphy workshops, fitness programs, weekday lunches, social connection, cultural enrichment, and on-site social workers who help members access public benefits and essential services. Confirm current schedule, meals, eligibility, and support services before visiting.","34-30 137th Street, Flushing, NY 11354",718-961-3660,Not listed,https://selfhelp.net/older-adult-centers/,Not listed,Monday-Friday 8:30 AM-4:00 PM.,Not listed,Not listed,Yes,Not listed,Not listed,"Flushing, Queens, Selfhelp, Latimer Gardens, older adult center, dance, calligraphy, fitness, lunches, benefits support",selfhelp-latimer-gardens-older-adult-center-flushing-new-york,https://selfhelp.net/older-adult-centers/,2026-05-02
BronxWorks Morris Older Adult Center,Senior Center,Bronx,Bronx County,New York,USA,"Bronx older adult center offering activities, meals, social connection, and support services for older adults.","BronxWorks Morris Older Adult Center provides older adult center programming in the Bronx, including activities, social connection, meals, and support services. Seniors and families should call before visiting to confirm current schedules, meals, language support, eligibility, and program availability.","1130 Grand Concourse, Bronx, NY 10456",718-508-3203,Not listed,https://bronxworks.org/our-services/services-for-older-adults/older-adult-centers/,Not listed,"Check website or call for current calendar, meals, and services.",Not listed,Not listed,Yes,Not listed,Not listed,"Bronx, BronxWorks, Morris Older Adult Center, senior center, meals, activities, social support",bronxworks-morris-older-adult-center-new-york,https://bronxworks.org/our-services/services-for-older-adults/older-adult-centers/,2026-05-02
BronxWorks Soundview Older Adult Center,Senior Center,Bronx,Bronx County,New York,USA,"Bronx older adult center offering activities, meals, language support, and community programs for older adults.","BronxWorks Soundview Older Adult Center provides older adult programming in the Soundview area of the Bronx. The center supports social connection, activities, meals, and community resources. Seniors and families should confirm current schedules, meals, language support, registration, and services before visiting.","391 Bronx River Avenue, Bronx, NY 10473",917-781-7356,Not listed,https://bronxworks.org/our-services/services-for-older-adults/older-adult-centers/,Not listed,"Check website or call for current activities, meals, and services.",Not listed,Not listed,Yes,Not listed,Not listed,"Bronx, Soundview, BronxWorks, older adult center, meals, activities, English, Spanish",bronxworks-soundview-older-adult-center-new-york,https://bronxworks.org/our-services/services-for-older-adults/older-adult-centers/,2026-05-02
Bronx House Weinberg Older Adult Center,Senior Center,Bronx,Bronx County,New York,USA,"Bronx older adult center offering activities, transportation information, community programs, and support for older adults.","Bronx House Weinberg Older Adult Center offers programs and activities for older adults, with transportation available in the immediate area. Seniors should contact the Older Adult Office to confirm current activity calendars, transportation details, meals, registration, and eligibility before attending.","990 Pelham Parkway South, Bronx, NY 10461",718-792-1800 ext. 228,Not listed,https://bronxhouse.org/older-adults/,Not listed,Call for current schedule and transportation information.,Not listed,Not listed,Yes,Not listed,Yes,"Bronx, Bronx House, Weinberg Older Adult Center, activities, transportation, older adults",bronx-house-weinberg-older-adult-center-new-york,https://bronxhouse.org/older-adults/,2026-05-02
Northeast Bronx Senior Center,Senior Center,Bronx,Bronx County,New York,USA,"Bronx senior center offering weekday programming, daily lunch, and no-fee registration for adults age 60 and older.","Northeast Bronx Senior Center serves adults age 60 and older with weekday senior center programming and daily lunch. Seniors must be 60 years old to register, with no fee listed, and lunch is served daily at noon for a suggested donation. Confirm current hours, registration, lunch details, and activities before visiting.","2968 Bruckner Boulevard, Bronx, NY 10465",718-892-6090,Not listed,https://stbenedictchurchny.org/northeast-bronx-senior-center,No registration fee listed; lunch donation listed.,Monday-Friday 9:00 AM-4:00 PM; lunch daily at 12:00 noon.,Not listed,Not listed,Yes,Not listed,Not listed,"Bronx, Northeast Bronx Senior Center, age 60 plus, lunch, senior activities, Bruckner Boulevard",northeast-bronx-senior-center-new-york,https://stbenedictchurchny.org/northeast-bronx-senior-center,2026-05-02
Bay Eden Senior Center,Senior Center,Bronx,Bronx County,New York,USA,Bronx senior center offering senior programs and community support for older adults.,"Bay Eden Senior Center is listed by Bronx Community Board 12 as a senior center serving older adults in the Bronx. Seniors and families should call before visiting to confirm current programming, meals, registration, transportation options, language access, and hours.","1220 East 229th Street, Bronx, NY 10466",718-882-3815,Not listed,https://www.nyc.gov/site/bronxcb12/resources/senior-centers.page,Not listed,Call for current program schedule and hours.,Not listed,Not listed,Not listed,Not listed,Not listed,"Bronx, Bay Eden Senior Center, senior center, older adults, community programs",bay-eden-senior-center-bronx-new-york,https://www.nyc.gov/site/bronxcb12/resources/senior-centers.page,2026-05-02
Armstrong Social Club,Senior Center,Brooklyn,Kings County,New York,USA,Brooklyn senior social club offering community connection and senior programs for older adults.,"Armstrong Social Club is listed as a Brooklyn senior center resource. The club supports senior community connection and social programming. Older adults and families should call before visiting to confirm current activities, eligibility, meals, hours, and registration details.","360 Nostrand Avenue, Brooklyn, NY 11216",347-425-1078,Not listed,https://www.nyc.gov/site/brooklyncb3/resources/senior-centers.page,Not listed,Call for current program schedule and hours.,Not listed,Not listed,Not listed,Not listed,Not listed,"Brooklyn, Armstrong Social Club, senior center, Nostrand Avenue, older adults, community programs",armstrong-social-club-brooklyn-new-york,https://www.nyc.gov/site/brooklyncb3/resources/senior-centers.page,2026-05-02
Brevoort Social Club,Senior Center,Brooklyn,Kings County,New York,USA,Brooklyn senior social club offering activities and community programming for older adults.,"Brevoort Social Club is listed as a Brooklyn senior center resource. Seniors and caregivers should call directly to confirm current activities, hours, meals, registration requirements, transportation options, and service availability before attending.","280 Ralph Avenue, Brooklyn, NY 11233",347-318-3383,Not listed,https://www.nyc.gov/site/brooklyncb3/resources/senior-centers.page,Not listed,Call for current program schedule and hours.,Not listed,Not listed,Not listed,Not listed,Not listed,"Brooklyn, Brevoort Social Club, senior center, Ralph Avenue, older adults, activities",brevoort-social-club-brooklyn-new-york,https://www.nyc.gov/site/brooklyncb3/resources/senior-centers.page,2026-05-02
Grace Agard Harewood Neighborhood Senior Center,Senior Center,Brooklyn,Kings County,New York,USA,Brooklyn neighborhood senior center offering programs and social connection for older adults.,"Grace Agard Harewood Neighborhood Senior Center is listed as a Brooklyn senior center resource. Older adults and families should call before visiting to confirm current activities, meals, registration, hours, eligibility, and available support services.","966 Fulton Street, Brooklyn, NY 11238",718-638-6910,Not listed,https://www.nyc.gov/site/brooklyncb3/resources/senior-centers.page,Not listed,Call for current program schedule and hours.,Not listed,Not listed,Not listed,Not listed,Not listed,"Brooklyn, Grace Agard Harewood, senior center, Fulton Street, older adults, neighborhood programs",grace-agard-harewood-neighborhood-senior-center-brooklyn-new-york,https://www.nyc.gov/site/brooklyncb3/resources/senior-centers.page,2026-05-02
